,Product,intercept,sr_bug_cnt,sr_hwr_cnt_pf,sr_init_sev_1_2_cnt_pf,sr_esc_cnt_pf,sr_bug_cnt_mean,sr_bug_cnt_std,sr_hwr_cnt_pf_mean,sr_hwr_cnt_pf_std,sr_init_sev_1_2_cnt_pf_mean,sr_init_sev_1_2_cnt_pf_std,sr_esc_cnt_pf_mean,sr_esc_cnt_pf_std,t,t2
0,Anastasia,0.006526528913060407,1.2137230684887898e-07,3.853285412764684e-06,-5.745902158146643e-06,3.3659484596020647e-07,1.0712232999269473e-32,0.0,-1.4283478876615648e-32,0.0,-1.4283478876615648e-32,0.0,1.785434859576956e-33,2.231793574471195e-34,0.0004339022320923912,-1.7278231148921963e-05
1,Belle,0.00992062983306042,-1.1969865579060737e-05,-1.8660879823000246e-07,1.227821854339358e-05,-2.0061204226513005e-06,1.938305548912693e-32,2.422881936140866e-33,-1.5506444391301543e-31,9.691527744563464e-33,-3.876611097825386e-32,9.691527744563464e-33,-2.422881936140866e-33,0.0,-0.00040482431122252597,1.0562550994089315e-05
2,Brownbear,0.007636467878084484,-0.00013614899433973902,-3.36305872526235e-05,2.057862859987056e-05,3.376220955748846e-05,-4.0083416967559346e-32,-1.0020854241889837e-32,0.0,-5.010427120944918e-33,4.0083416967559346e-32,5.010427120944918e-33,5.010427120944918e-33,2.505213560472459e-33,0.0008038295352362597,-2.4295040108035515e-05
3,Burrito,0.004384779375759356,-4.999799995199588e-06,9.020876969823917e-06,-2.6831163233148957e-06,2.6732373633205633e-07,0.0,1.2664776135759326e-34,4.052728363442984e-33,-2.532955227151865e-34,1.013182090860746e-33,-1.2664776135759326e-34,-3.1661940339398314e-35,1.5830970169699157e-35,-8.675108312962983e-05,3.7338726658719783e-07
4,Centauri,0.0010265556259320234,-1.5127861742184635e-05,-1.9107274332566716e-05,1.3386851004440773e-05,1.1860936814324448e-06,-3.1434787811045415e-32,0.0,-3.1434787811045415e-32,-1.309594746364094e-33,-2.0953515941825505e-32,2.619189492728188e-33,0.0,0.0,0.0008508791074402526,-1.7274120210047927e-05
5,Diana,0.007149542029410233,8.358841757817522e-06,-8.623352976012504e-06,-1.586193874311502e-06,8.577109955409055e-07,7.816567235227883e-34,-9.770709044034854e-35,-1.5633134470455766e-33,0.0,0.0,1.9541418088069708e-34,0.0,-4.885354522017427e-35,0.0002807999969734465,-4.113975658547042e-06
6,Fajita,0.004038237356978449,-2.7424628389387866e-06,3.0519124755248796e-06,-1.483325998714218e-06,-3.78548534306068e-07,0.0,1.9663669500555225e-34,1.2584748480355344e-32,-7.86546780022209e-34,0.0,-3.932733900111045e-34,-4.915917375138806e-35,-2.457958687569403e-35,-2.2919899722437546e-05,1.6229877720617958e-06
7,Fiona,0.00869882333015349,1.6919669706077065e-05,-4.854743159793079e-05,0.00011982396150551919,-8.439151475148818e-06,0.0,2.5428293796987723e-32,2.034263503759018e-31,1.2714146898493862e-32,0.0,-1.2714146898493862e-32,-3.8148459226557795e-32,-9.537114806639449e-33,0.0011028945246680042,-3.342456649472331e-05
8,Grizzlybear,0.043044885519673656,4.405737278304663e-05,8.530133732758982e-06,-7.932470884709298e-05,2.5556204171610378e-05,6.044410759837816e-32,1.511102689959454e-32,3.777756724898635e-33,9.444391812246587e-34,3.022205379918908e-32,-7.55551344979727e-33,-3.022205379918908e-32,0.0,0.0017521771708205996,-9.226910087206663e-05
9,Jasmine,0.011303255586794904,1.2359175026080448e-06,2.697500520756813e-06,-1.8623161793371894e-05,6.412084545990813e-07,0.0,5.5784259912622476e-33,2.231370396504899e-32,3.346604204926633e-32,0.0,5.5784259912622476e-33,-2.7892129956311238e-33,1.3946064978155619e-33,0.0007302431378593418,-2.701728567672257e-05
10,Jupiter,0.012873344905674593,-1.3403015700673223e-05,-1.5167070619465334e-05,1.111612331770915e-05,4.397049098274859e-06,1.5569563735963297e-32,0.0,1.2455650988770637e-31,1.1675762208751486e-32,-1.5569563735963297e-32,0.0,-3.892390933990824e-33,9.73097733497706e-34,0.000599594189212307,-3.785098449154978e-05
11,Littlebear,0.00886119204516907,3.923090967506776e-05,-7.202184046592785e-06,-2.4903355900990667e-05,-1.8884256696422835e-06,0.0,5.999723166596955e-35,6.319457630020618e-34,-3.949661018762886e-35,0.0,-3.949661018762886e-35,-1.974830509381443e-35,0.0,8.27934639827815e-06,-4.515147721921575e-07
12,Mamabear,0.020891286429731613,2.3137795745820957e-05,-5.633567748955678e-06,-6.176526244835858e-06,-1.4719468331196894e-06,5.4309719798951e-33,6.788714974868875e-34,2.71548598994755e-33,6.788714974868875e-34,1.08619439597902e-32,0.0,2.71548598994755e-33,3.3943574874344374e-34,0.00041121392676164004,-3.394160011455007e-05
13,Mars,0.14598040926949166,0.00015124997706790402,-0.00019225213590271024,-7.51446166203641e-05,6.523293081199693e-05,1.168919105621528e-31,0.0,-5.84459552810764e-32,0.0,5.84459552810764e-32,-1.46114888202691e-32,1.168919105621528e-31,4.3844998890190666e-32,0.003304205861745773,-9.232537995899903e-05
14,Mr_Clean,0.016608097624873506,-5.072308575467342e-06,6.970745286135583e-06,-1.872922199834291e-06,7.396483404998821e-07,0.0,0.0,-2.1314627806398112e-32,0.0,5.328656951599528e-33,-3.330410594749705e-34,-1.9983403963978888e-33,1.6652052973748525e-34,-0.00012837781676200218,-6.668603787027359e-06
15,Neptune,0.14600700997679894,-0.0006163731192086179,-0.00014095164251523744,-3.545682838118928e-06,-0.00021137435754328942,1.0907985722523207e-31,4.092601131822876e-32,5.453992861261604e-32,1.363498215315401e-32,5.453992861261604e-32,-1.363498215315401e-32,0.0,-2.726996430630802e-32,-0.0042860842434357385,0.0001887707723889874
16,Orion,0.004475242722461101,-2.036652134004864e-06,-3.4563658885353125e-06,-1.5350922765804703e-06,-1.6517976056252176e-06,0.0,8.0347389867405e-34,6.4277911893924e-33,0.0,3.2138955946962e-33,4.01736949337025e-34,-2.008684746685125e-34,0.0,0.0006267177806125325,-2.3704054315143788e-05
17,Papabear,0.0320298904206837,-1.8418159962298302e-05,6.389572283205206e-06,7.491080203348448e-06,-3.974495471074606e-06,0.0,6.573364409798232e-34,0.0,-2.191121469932744e-34,-5.2586915278385854e-33,-4.382242939865488e-34,-8.764485879730976e-34,-5.47780367483186e-35,0.0002236338234535741,-2.184403494754142e-05
18,Pluto,0.021979100121072973,1.3579452449239095e-05,-4.6907320805829875e-06,3.896963508261631e-06,1.1006058222135483e-06,1.6424571306977396e-32,-1.0265357066860872e-33,0.0,0.0,4.106142826744349e-33,0.0,1.0265357066860872e-33,2.566339266715218e-34,0.00033585628033852436,-2.9361141691733317e-05
19,Rigel,0.0024847870779421454,-1.040560043468794e-06,-7.829202056053564e-06,7.669932317012611e-06,6.502528137868629e-07,0.0,3.9139259904978885e-33,1.5655703961991554e-32,0.0,-1.5655703961991554e-32,-9.784814976244721e-34,0.0,2.4462037440611803e-34,0.00039608946566377845,-1.5546526168806404e-05
20,Taco,0.0027034824758638497,-2.209664200556364e-06,-2.8812418328379093e-06,-3.5217744682392356e-06,1.7891626719041968e-07,5.092053448666018e-33,-9.547600216248784e-34,4.0736427589328143e-32,-5.092053448666018e-33,0.0,0.0,-3.182533405416261e-34,0.0,-1.1940790214302573e-06,1.27099877431959e-06
21,Venus,0.0020140378383967407,0.0005442254344019161,0.0016775157889000706,0.0013195385024104785,-0.0005783652067551866,0.0,3.069450848867157e-33,0.0,0.0,9.304649043820833e-33,6.138901697734314e-33,0.0,-7.673627122167893e-34,0.0020841195134841594,-5.088788982854364e-05
22,Windex,0.025737990644215072,-3.4624233742094953e-06,2.974799866374144e-06,-9.23938519377183e-06,-3.567051853069795e-06,0.0,7.2720782519269994e-34,2.3270650406166398e-32,1.4544156503853999e-33,-5.8176626015415996e-33,0.0,0.0,1.8180195629817499e-34,-0.00028623633966422734,4.668594673545856e-06
